Distance_(pixels),Gray_Value
0,71.692
1,73.328
2,74.087
3,76.419
4,77.703
5,80.444
6,82.717
7,85.884
8,88.913
9,91.569
10,93.393
11,95.903
12,96.040
13,98.297
14,99.678
15,99.007
16,98.102
17,95.775
18,94.886
19,95.326
20,93.720
21,92.135
22,90.998
23,88.114
24,84.434
25,80.938
26,77.373
27,75.397
28,74.983
29,74.013
30,73.095
31,71.739
32,71.844
33,71.200
34,71.393
35,72.713
36,73.378
37,74.606
38,75.364
39,76.581
40,77.772
41,80.802
42,82.102
43,83.844
44,84.876
45,86.692
46,86.917
47,86.750
48,86.022
49,85.262
50,85.822
51,85.450
52,84.605
53,82.318
54,80.150
55,80.125
56,79.617
57,78.992
58,79.716
59,77.918
60,76.401
61,75.420
62,75.667
63,77.119
64,77.839
65,79.300
66,80.874
67,81.673
68,83.110
69,84.885
70,87.784
71,91.080
72,93.793
73,94.968
74,95.421
75,95.551
76,95.819
77,96.747
78,97.503
79,98.029
80,97.044
81,94.736
82,94.952
83,93.421
84,91.435
85,89.184
86,86.561
87,84.707
88,83.271
89,78.844
90,75.044
91,73.157
92,70.569
93,68.909
94,66.397
95,63.535
96,62.347
97,63.170
98,62.090
99,63.044
100,64.036
101,65.435
102,66.362
103,68.752
104,71.796
105,73.552
106,76.141
107,78.203
108,81.083
109,84.773
110,87.613
111,89.461
112,92.620
113,96.357
114,97.598
115,96.387
116,97.363
117,99.375
118,100.438
119,99.152
120,97.640
121,97.092
122,95.320
123,92.420
124,90.313
125,88.995
126,88.590
127,86.561
128,84.986
129,83.775
130,82.329
131,79.589
132,78.490
133,79.633
134,78.974
135,78.367
136,79.958
137,80.394
138,80.394
139,81.403
140,83.145
141,83.709
142,85.835
143,87.294
144,89.074
145,91.247
146,93.677
147,94.873
148,96.136
149,96.806
150,95.762
151,95.048
152,94.855
153,93.737
154,91.914
155,90.011
156,88.078
157,83.938
158,80.953
159,79.335
160,76.829
161,74.527
162,72.408
163,69.629
164,66.491
165,63.461
166,62.618
167,60.704
168,58.484
169,57.318
170,56.694
171,54.778
172,54.926
173,55.926
174,57.263
175,58.938
176,61.628
177,65.440
178,68.388
179,70.091
180,72.783
181,75.381
182,79.640
183,83.721
184,87.124
185,91.650
186,96.601
187,99.134
188,102.761
189,104.880
190,107.614
191,110.153
192,112.103
193,113.936
194,114.872
195,116.274
196,116.171
197,114.352
198,113.126
199,110.707
200,109.106
201,108.297
202,106.090
203,103.300
204,101.294
205,99.539
206,96.131
207,93.109
208,87.029
209,82.855
210,81.220
211,80.180
212,77.457
213,76.011
214,76.020
215,75.125
216,74.435
217,72.510
218,71.918
219,72.168
220,73.563
221,77.034
222,79.780
