Distance_(pixels),Gray_Value
0,35.188
1,37.464
2,39.731
3,42.104
4,44.852
5,47.023
6,48.722
7,51.069
8,51.927
9,52.208
10,52.882
11,51.720
12,50.129
13,48.354
14,45.540
15,43.416
16,41.419
17,38.647
18,37.281
19,35.049
20,33.096
21,32.208
22,30.976
23,31.145
24,32.700
25,34.021
26,34.997
27,37.212
28,39.182
29,40.968
30,43.527
31,46.207
32,48.155
33,50.018
34,50.732
35,50.331
36,49.355
37,48.703
38,46.937
39,45.017
40,43.085
41,41.383
42,40.359
43,38.278
44,35.980
45,34.724
46,33.515
47,33.347
48,33.631
49,35.478
50,36.471
51,38.125
52,40.309
53,42.685
54,45.108
55,47.439
56,49.276
57,51.255
58,52.369
59,52.708
60,53.395
61,52.252
62,50.701
63,49.036
64,48.082
65,46.118
66,43.102
67,39.252
68,36.064
69,34.263
70,31.608
71,29.864
72,28.254
73,27.645
74,27.365
75,27.829
76,30.105
77,33.545
78,36.471
79,39.666
80,44.055
81,47.923
82,51.546
83,54.306
84,55.882
85,58.858
86,60.143
87,60.538
88,61.784
89,61.238
90,59.221
91,55.918
92,51.258
93,47.515
94,43.526
95,41.173
96,38.003
97,34.154
98,30.558
99,28.221
100,26.407
101,25.797
102,25.531
103,25.720
104,27.081
105,30.070
106,34.583
107,39.244
108,42.681
109,46.799
110,51.084
111,54.557
112,58.002
113,60.839
114,62.703
115,63.849
116,63.393
117,62.381
118,59.759
119,56.057
120,52.137
121,48.675
122,44.834
123,40.668
124,36.187
125,32.472
126,30.145
127,28.256
128,27.130
129,26.570
130,26.616
131,28.095
132,30.723
133,34.512
134,37.591
135,41.722
136,46.128
137,51.146
138,57.211
139,61.739
140,65.566
141,68.422
142,70.807
143,72.192
144,72.389
145,70.225
146,68.782
147,64.957
148,61.152
149,56.758
150,51.372
151,44.881
152,39.130
153,33.937
154,28.341
155,23.965
156,20.292
157,17.161
158,16.916
159,17.780
160,19.256
161,23.514
162,28.144
163,33.228
164,39.574
165,46.354
166,54.567
167,62.217
168,69.916
169,77.011
170,82.599
171,86.717
172,89.426
173,92.089
174,93.124
175,91.695
176,87.416
177,83.270
178,77.854
179,71.091
180,63.777
181,56.591
182,48.724
183,40.986
184,34.128
185,28.039
186,22.859
187,18.856
188,16.405
189,15.476
190,16.410
191,18.729
192,23.716
193,29.780
194,37.114
195,45.524
196,55.110
197,63.227
198,72.298
199,81.297
200,87.920
201,93.968
202,98.077
203,101.446
204,102.459
205,101.383
206,99.852
207,93.820
208,87.420
209,79.790
210,71.291
211,62.305
212,52.405
213,43.065
214,34.795
215,26.894
216,19.856
217,15.448
218,12.832
219,12.497
220,13.919
221,17.800
222,23.548
223,31.856
224,42.178
225,53.522
226,65.478
227,78.192
228,91.247
229,104.897
230,116.726
231,127.439
232,136.803
233,144.033
234,148.120
235,150.481
236,150.136
237,147.971
238,141.029
239,131.412
240,121.036
241,109.922
242,97.843
243,83.393
244,69.678
245,56.169
246,43.490
247,32.364
248,23.753
249,17.270
250,12.772
251,11.714
252,12.507
253,17.441
254,24.533
255,33.870
256,45.480
257,59.976
258,75.897
259,92.789
260,109.497
261,125.343
262,139.379
263,151.780
264,163.220
265,172.821
266,179.019
267,181.879
268,180.278
269,175.069
270,168.183
271,158.776
272,148.834
273,135.103
274,120.898
275,103.406
276,86.723
277,71.755
278,56.705
279,43.433
280,33.077
281,24.599
282,19.206
283,17.443
284,19.043
285,24.726
286,33.546
287,45.323
288,59.977
289,76.321
290,94.951
291,116.173
292,137.333
293,158.124
294,179.459
295,198.103
296,213.035
297,225.375
298,233.986
299,238.757
300,240.680
301,238.983
302,234.981
303,227.144
304,216.332
305,201.910
306,184.183
307,165.030
308,144.918
309,122.964
310,102.336
311,81.860
312,63.907
313,49.101
314,38.628
315,30.190
316,24.960
317,22.902
318,25.015
319,30.811
320,39.629
321,51.038
322,66.405
323,83.083
324,101.727
325,120.183
326,137.379
327,153.383
328,169.634
329,182.129
330,193.805
331,202.837
332,207.559
333,208.876
334,206.540
335,199.224
336,189.212
337,177.065
338,161.265
339,144.471
340,126.957
341,108.654
342,90.119
343,72.526
344,56.487
345,42.609
346,30.978
347,22.274
348,17.263
349,15.818
350,17.421
351,20.598
352,28.492
353,39.799
354,53.781
355,69.182
356,85.131
357,102.428
358,119.385
359,136.283
360,151.572
361,164.027
362,173.512
363,181.754
364,187.107
365,187.137
366,184.478
367,178.696
368,171.690
369,161.610
370,149.179
371,134.899
372,118.310
373,101.022
374,84.292
375,67.827
376,52.244
377,39.731
378,29.911
379,22.859
380,18.214
381,16.954
382,18.954
383,24.404
384,32.810
385,43.723
386,56.131
387,70.984
388,87.373
389,103.499
390,119.857
391,134.753
392,149.525
393,162.003
394,170.095
395,178.023
396,182.130
397,183.987
398,181.743
399,176.350
400,166.979
401,156.172
402,143.745
403,128.079
404,111.319
405,95.465
406,78.863
407,63.505
408,49.232
409,37.026
410,26.868
411,19.976
412,16.940
413,15.297
414,17.700
415,23.654
416,31.390
417,41.903
418,55.445
419,70.776
420,86.275
421,102.422
422,119.853
423,134.600
424,147.100
425,158.375
426,167.912
427,173.761
428,176.853
429,175.587
430,173.694
431,167.371
432,158.267
433,146.274
434,132.359
435,117.268
436,100.349
437,83.492
438,67.646
439,52.777
440,40.420
441,29.050
442,21.626
443,16.897
444,15.510
445,18.011
446,23.797
447,33.346
448,45.774
449,60.532
450,77.860
451,97.034
452,118.003
453,139.499
454,159.847
455,177.972
456,193.317
457,207.483
458,219.366
459,227.610
460,231.028
461,232.686
462,230.016
463,224.407
464,213.726
465,199.218
466,184.334
467,165.957
468,146.534
469,125.766
470,105.310
471,85.703
472,69.319
473,54.351
474,41.096
475,31.367
476,25.359
477,22.308
478,23.578
479,28.185
480,36.093
481,48.558
482,63.258
483,79.735
484,97.237
485,117.055
486,135.969
487,152.965
488,168.421
489,183.816
490,198.534
491,207.871
492,214.630
493,217.415
494,218.740
495,215.194
496,208.158
497,196.760
498,182.645
499,167.481
500,150.140
501,129.637
502,108.958
503,89.822
504,71.086
505,54.631
506,41.241
507,30.212
508,22.015
509,17.238
510,16.259
511,17.768
512,23.062
513,31.698
514,43.301
515,57.078
516,71.732
517,88.247
518,104.082
519,120.036
520,135.687
521,149.953
522,161.171
523,171.251
524,177.888
525,181.121
526,182.166
527,179.724
528,174.432
529,165.544
530,154.503
531,139.722
532,125.044
533,108.919
534,91.677
535,75.015
536,59.255
537,44.685
538,33.086
539,23.080
540,16.085
541,12.616
542,12.405
543,15.187
544,20.930
545,28.993
546,40.531
547,53.799
548,67.850
549,83.478
550,100.959
551,116.629
552,132.578
553,146.610
554,159.196
555,170.218
556,179.122
557,183.874
558,184.469
559,182.550
560,179.059
561,173.019
562,163.056
563,151.298
564,136.737
565,120.871
566,104.942
567,88.459
568,72.933
569,58.075
570,44.880
571,33.041
572,23.036
573,16.391
574,11.999
575,10.674
576,11.367
577,14.564
578,18.851
579,25.725
580,34.708
581,44.663
582,54.951
583,65.954
584,76.557
585,86.815
586,95.089
587,101.424
588,106.804
589,110.553
590,112.372
591,112.974
592,110.493
593,106.384
594,99.875
595,92.112
596,82.686
597,73.484
598,64.014
599,54.715
600,45.921
601,37.302
602,29.823
603,22.991
604,18.174
605,15.522
606,14.032
607,15.247
608,16.674
609,19.863
610,24.765
611,30.808
612,37.745
613,44.309
614,51.748
615,60.222
616,66.596
617,71.593
618,76.414
619,79.994
620,81.367
621,81.981
622,81.844
623,80.338
624,75.820
625,72.068
626,67.677
627,63.025
628,57.351
629,50.231
630,43.560
631,38.592
632,33.599
633,29.180
634,26.077
635,23.794
636,21.932
637,21.432
638,21.612
639,23.332
640,25.719
641,28.434
642,31.781
643,34.555
644,38.728
645,42.536
646,46.229
647,50.052
648,53.347
649,55.535
650,56.661
651,57.057
652,56.067
653,54.099
654,52.742
655,50.472
656,48.167
657,46.378
658,43.573
659,41.400
660,39.033
661,36.518
662,35.768
663,35.101
664,35.192
665,35.411
666,35.687
667,36.891
668,38.323
669,39.073
670,41.119
671,43.316
672,45.211
673,46.466
674,47.415
675,47.284
676,47.276
677,46.461
678,45.800
679,46.109
680,44.304
681,42.327
682,40.326
683,38.046
684,35.315
685,33.068
686,31.806
687,31.064
688,30.164
689,30.176
690,29.860
691,30.613
692,32.049
693,33.920
694,36.510
695,39.560
696,42.557
697,44.707
698,47.470
699,50.695
700,53.838
701,56.098
702,57.950
703,58.178
704,58.025
705,57.393
706,55.418
707,53.179
708,50.261
709,46.407
710,42.535
711,39.118
712,36.307
713,33.546
714,31.548
715,29.769
716,28.266
717,26.924
718,26.636
719,27.561
720,29.987
721,32.832
722,35.045
723,37.919
724,41.785
725,45.227
726,47.654
727,49.433
728,52.318
729,53.704
730,54.130
731,54.402
732,53.765
733,52.620
734,50.585
735,48.089
736,45.279
737,42.307
738,38.833
739,36.999
740,34.480
741,31.814
742,29.881
743,28.968
744,29.263
745,29.773
746,30.578
747,32.193
748,35.010
749,37.712
750,40.321
751,43.822
752,47.757
753,50.277
754,52.076
755,52.891
756,53.684
757,54.191
758,53.414
759,51.168
760,48.736
761,46.323
762,43.414
763,40.489
764,37.199
765,33.417
766,30.798
767,28.924
768,28.722
769,27.978
770,28.406
771,29.242
772,30.500
773,33.558
774,37.196
775,40.048
776,43.788
777,47.138
778,50.658
779,53.584
780,54.394
781,55.979
782,57.783
783,58.287
784,56.874
785,56.212
786,53.309
787,50.146
788,46.966
789,42.312
790,38.860
791,35.470
792,32.380
793,30.239
794,28.483
795,27.636
796,27.909
797,28.777
798,30.300
799,32.832
800,36.555
801,40.038
802,43.503
803,47.521
804,50.766
805,52.897
806,55.090
807,56.100
808,56.800
809,56.303
810,55.241
811,53.319
812,51.196
813,47.259
814,44.143
815,40.893
816,36.935
817,33.556
818,32.536
819,30.927
820,29.822
821,29.868
822,30.157
823,31.810
824,34.003
825,36.925
826,40.949
827,43.432
828,46.644
829,49.324
830,51.468
831,53.227
832,53.220
833,52.057
834,51.326
835,50.376
836,48.116
837,45.553
838,41.953
839,39.509
840,36.855
841,33.480
842,31.654
843,30.711
844,30.016
845,31.333
846,33.637
847,35.564
848,37.611
849,40.064
850,43.380
851,45.914
852,48.137
853,51.267
854,53.121
855,53.329
856,53.625
857,52.691
858,50.338
859,47.112
860,45.151
861,42.304
862,38.843
863,35.564
864,32.688
865,30.470
866,29.066
867,28.510
868,29.287
869,30.067
870,31.720
871,34.733
872,37.895
873,40.213
874,43.553
875,48.270
876,50.871
877,50.991
878,51.988
879,53.114
880,53.319
881,51.371
882,49.741
883,47.934
884,44.833
885,41.225
886,38.039
887,35.327
888,33.163
889,31.538
