Distance_(pixels),Gray_Value
0,38.327
1,43.459
2,47.818
3,51.927
4,53.508
5,53.040
6,50.154
7,45.502
8,38.834
9,32.694
10,31.317
11,32.779
12,34.924
13,39.162
14,45.086
15,51.123
16,56.265
17,56.487
18,54.632
19,49.788
20,42.723
21,35.886
22,32.224
23,31.480
24,33.677
25,39.024
26,45.750
27,52.992
28,58.329
29,62.909
30,63.067
31,58.966
32,53.149
33,44.932
34,37.400
35,33.418
36,32.487
37,37.068
38,43.482
39,51.417
40,58.774
41,65.392
42,70.209
43,69.526
44,64.657
45,57.878
46,49.715
47,40.914
48,36.070
49,34.842
50,39.296
51,47.193
52,56.088
53,67.080
54,73.995
55,75.546
56,74.724
57,70.326
58,62.302
59,51.911
60,43.694
61,38.868
62,36.981
63,40.411
64,48.602
65,59.972
66,71.654
67,79.274
68,83.683
69,83.770
70,77.840
71,69.228
72,57.425
73,47.146
74,41.334
75,41.383
76,46.614
77,55.307
78,67.089
79,77.499
80,87.202
81,92.526
82,91.348
83,85.070
84,76.569
85,64.858
86,53.324
87,45.631
88,44.557
89,49.196
90,59.372
91,73.047
92,87.147
93,99.396
94,104.887
95,104.706
96,97.411
97,87.116
98,72.722
99,61.451
100,52.324
101,49.892
102,54.518
103,64.861
104,80.047
105,97.589
106,115.524
107,124.899
108,124.878
109,118.535
110,106.678
111,89.486
112,74.112
113,63.463
114,59.189
115,63.836
116,75.648
117,92.872
118,112.595
119,130.922
120,143.573
121,146.159
122,139.555
123,127.908
124,110.086
125,90.691
126,76.069
127,69.497
128,71.257
129,83.295
130,101.364
131,122.146
132,142.870
133,157.944
134,165.480
135,164.196
136,152.203
137,133.427
138,111.553
139,92.715
140,80.589
141,76.775
142,83.445
143,99.841
144,121.895
145,146.177
146,169.178
147,180.324
148,179.882
149,168.438
150,152.120
151,129.903
152,108.426
153,92.126
154,85.227
155,89.029
156,104.624
157,126.497
158,152.107
159,173.480
160,188.474
161,194.271
162,189.778
163,173.871
164,150.739
165,127.263
166,109.673
167,98.036
168,98.248
169,110.913
170,130.780
171,155.733
172,180.125
173,199.438
174,207.585
175,206.252
176,193.074
177,170.871
178,145.855
179,122.959
180,108.400
181,102.538
182,109.454
183,127.069
184,152.072
185,178.748
186,200.312
187,212.720
188,214.670
189,206.000
190,185.702
191,160.828
192,135.523
193,114.667
194,102.795
195,103.039
196,115.158
197,137.042
198,163.231
199,185.206
200,201.874
201,209.660
202,203.622
203,186.377
204,161.769
205,136.355
206,113.401
207,97.923
208,92.775
209,98.894
210,114.220
211,134.683
212,157.467
213,172.404
214,180.508
215,179.105
216,168.462
217,148.342
218,124.351
219,104.538
220,87.824
221,80.143
222,81.945
223,94.031
224,112.477
225,133.941
226,151.339
227,160.707
228,160.804
229,151.361
230,134.950
231,115.330
232,96.399
233,81.860
234,73.530
235,74.402
236,84.348
237,100.646
238,120.773
239,137.590
240,147.742
241,150.136
242,142.456
243,129.137
244,110.775
245,90.179
246,74.981
247,67.275
248,69.376
249,80.628
250,97.227
251,115.700
252,133.747
253,144.901
254,147.580
255,140.432
256,127.261
257,109.101
258,90.183
259,75.817
260,68.722
261,70.771
262,81.322
263,99.154
264,117.540
265,134.399
266,146.739
267,151.956
268,147.041
269,133.771
270,116.960
271,99.215
272,82.695
273,75.660
274,76.788
275,87.886
276,108.170
277,131.873
278,153.001
279,170.180
280,180.291
281,179.565
282,165.406
283,144.060
284,121.688
285,103.443
286,92.860
287,89.511
288,98.250
289,118.166
290,143.658
291,166.897
292,187.406
293,199.266
294,198.592
295,189.709
296,170.576
297,146.953
298,122.680
299,103.029
300,92.571
301,93.457
302,103.874
303,122.779
304,145.474
305,167.742
306,182.630
307,185.122
308,178.492
309,164.173
310,141.779
311,116.865
312,96.269
313,83.353
314,79.196
315,86.232
316,101.288
317,121.216
318,140.296
319,156.781
320,164.283
321,161.978
322,149.605
323,132.706
324,111.227
325,89.895
326,76.617
327,71.277
328,77.861
329,90.802
330,108.882
331,130.080
332,145.574
333,152.651
334,153.891
335,144.064
336,127.224
337,106.188
338,86.424
339,74.087
340,70.675
341,76.037
342,89.675
343,108.394
344,127.515
345,143.347
346,153.752
347,152.671
348,145.152
349,131.282
350,111.781
351,92.460
352,78.773
353,74.554
354,81.636
355,97.509
356,118.392
357,138.717
358,157.835
359,169.912
360,171.863
361,165.135
362,148.904
363,128.584
364,107.749
365,92.285
366,86.675
367,90.768
368,103.437
369,124.871
370,151.921
371,174.663
372,191.456
373,196.858
374,190.910
375,175.333
376,151.129
377,126.445
378,104.475
379,88.671
380,83.718
381,90.719
382,106.969
383,126.098
384,146.733
385,163.749
386,172.068
387,170.468
388,159.024
389,140.337
390,117.750
391,96.090
392,80.190
393,74.313
394,77.367
395,88.947
396,105.926
397,123.957
398,140.259
399,149.477
400,148.258
401,141.024
402,126.822
403,109.020
404,91.486
405,78.442
406,72.469
407,77.619
408,91.292
409,112.157
410,135.423
411,153.577
412,163.222
413,165.560
414,157.242
415,141.183
416,121.048
417,101.521
418,87.340
419,81.330
420,83.454
421,96.967
422,118.986
423,140.928
424,161.245
425,176.373
426,180.895
427,173.167
428,157.888
429,136.605
430,115.236
431,95.448
432,83.500
433,82.826
434,92.585
435,110.498
436,133.222
437,155.248
438,173.307
439,180.499
440,177.277
441,163.807
442,140.804
443,119.336
444,98.835
445,84.017
446,78.368
447,84.184
448,99.081
449,116.425
450,134.067
451,149.030
452,158.264
453,160.700
454,150.740
455,133.210
456,113.403
457,94.678
458,79.691
459,73.552
460,78.172
461,91.686
462,109.869
463,130.518
464,148.221
465,158.533
466,158.745
467,150.290
468,133.695
469,114.989
470,96.888
471,84.131
472,79.554
473,86.809
474,102.639
