Distance_(pixels),Gray_Value
0,31.772
1,37.235
2,42.745
3,48.967
4,54.625
5,58.484
6,60.591
7,61.006
8,60.866
9,59.987
10,57.043
11,51.532
12,44.691
13,38.654
14,32.824
15,27.250
16,23.698
17,20.981
18,20.923
19,23.052
20,27.086
21,33.271
22,40.250
23,47.332
24,54.273
25,61.728
26,67.908
27,70.932
28,71.031
29,70.185
30,65.410
31,60.841
32,54.133
33,47.190
34,39.974
35,32.578
36,26.389
37,22.630
38,20.621
39,20.361
40,23.148
41,28.102
42,34.429
43,42.083
44,50.358
45,58.983
46,65.613
47,71.267
48,74.594
49,76.143
50,74.356
51,69.877
52,63.737
53,57.329
54,49.771
55,40.962
56,32.904
57,26.714
58,21.868
59,19.533
60,20.631
61,24.012
62,30.117
63,37.527
64,46.639
65,57.479
66,67.479
67,76.552
68,82.786
69,87.689
70,88.497
71,86.711
72,83.242
73,76.384
74,66.750
75,57.127
76,46.053
77,36.091
78,27.970
79,22.232
80,18.143
81,18.293
82,21.736
83,28.976
84,39.885
85,52.853
86,65.687
87,78.824
88,91.753
89,102.284
90,108.287
91,111.753
92,112.274
93,108.891
94,101.075
95,91.407
96,78.658
97,63.885
98,50.744
99,37.747
100,28.034
101,22.254
102,19.855
103,21.123
104,27.394
105,37.343
106,50.399
107,65.377
108,81.221
109,98.468
110,113.254
111,125.935
112,134.497
113,138.862
114,137.336
115,132.272
116,123.080
117,109.911
118,94.221
119,78.032
120,61.953
121,47.053
122,35.427
123,26.712
124,22.824
125,25.266
126,31.856
127,43.510
128,58.951
129,76.425
130,95.503
131,114.616
132,133.425
133,146.818
134,157.344
135,162.232
136,160.110
137,155.723
138,143.307
139,126.329
140,107.127
141,89.035
142,71.356
143,54.907
144,41.397
145,32.685
146,29.443
147,31.841
148,41.738
149,56.696
150,74.110
151,93.864
152,116.146
153,138.628
154,160.206
155,179.014
156,191.522
157,197.320
158,198.861
159,193.133
160,180.197
161,163.370
162,142.833
163,119.295
164,97.896
165,76.960
166,58.443
167,46.427
168,38.936
169,38.840
170,46.211
171,59.372
172,77.582
173,100.067
174,125.387
175,149.179
176,173.198
177,193.805
178,210.099
179,218.800
180,221.550
181,216.626
182,207.627
183,192.187
184,170.618
185,147.572
186,122.441
187,97.623
188,74.885
189,57.399
190,46.422
191,40.946
192,42.724
193,51.073
194,65.873
195,86.170
196,109.668
197,133.962
198,156.612
199,179.505
200,197.772
201,211.061
202,216.062
203,214.221
204,208.674
205,195.760
206,177.036
207,153.890
208,129.394
209,104.614
210,82.394
211,62.040
212,46.917
213,39.389
214,39.162
215,43.986
216,53.999
217,70.618
218,91.452
219,114.584
220,138.122
221,159.404
222,176.664
223,189.948
224,199.378
225,201.373
226,192.780
227,179.516
228,163.354
229,143.025
230,121.034
231,98.116
232,75.206
233,56.218
234,41.914
235,32.252
236,28.994
237,30.836
238,37.994
239,50.895
240,67.970
241,86.446
242,105.503
243,122.753
244,137.774
245,148.848
246,154.773
247,155.125
248,150.085
249,138.179
250,123.451
251,105.975
252,87.130
253,68.346
254,51.817
255,39.635
256,31.382
257,28.169
258,29.944
259,37.029
260,49.824
261,65.755
262,85.178
263,105.442
264,124.134
265,140.125
266,152.364
267,161.632
268,166.007
269,164.156
270,156.878
271,143.753
272,126.965
273,107.594
274,88.081
275,68.919
276,52.944
277,41.138
278,33.092
279,29.532
280,33.776
281,44.210
282,60.471
283,79.494
284,100.239
285,122.706
286,143.950
287,164.970
288,180.107
289,191.982
290,196.424
291,193.674
292,185.391
293,171.519
294,152.371
295,129.045
296,106.839
297,84.274
298,65.414
299,49.914
300,38.756
301,35.598
302,38.733
303,46.472
304,59.879
305,78.724
306,100.267
307,123.859
308,148.185
309,168.962
310,186.581
311,199.303
312,205.040
313,203.355
314,196.621
315,184.726
316,165.830
317,143.994
318,120.702
319,97.374
320,75.586
321,56.834
322,43.039
323,33.986
324,31.098
325,35.033
326,44.528
327,58.958
328,76.287
329,94.742
330,113.714
331,131.142
332,146.177
333,155.969
334,161.518
335,160.491
336,155.728
337,143.917
338,128.297
339,108.833
340,89.260
341,70.132
342,53.814
343,40.632
344,32.982
345,30.366
346,33.469
347,41.807
348,55.356
349,74.027
350,95.608
351,117.795
352,139.271
353,158.371
354,174.929
355,185.615
356,189.504
357,187.869
358,179.281
359,166.169
360,149.557
361,128.886
362,106.544
363,84.800
364,64.672
365,48.331
366,37.173
367,31.251
368,33.037
369,40.210
370,51.797
371,68.670
372,88.351
373,110.339
374,130.720
375,149.456
376,166.930
377,178.741
378,183.469
379,181.769
380,173.576
381,159.202
382,141.705
383,123.407
384,102.285
385,80.755
386,61.831
387,46.243
388,35.418
389,31.423
390,32.356
391,39.482
392,52.455
393,69.246
394,89.480
395,112.585
396,134.692
397,154.146
398,168.848
399,180.267
400,185.256
401,185.187
402,178.222
403,165.417
404,147.691
405,128.048
406,106.662
407,85.812
408,65.471
409,49.398
410,38.190
411,31.859
412,31.807
413,37.856
414,49.253
415,65.145
416,84.754
417,105.197
418,126.065
419,146.515
420,161.288
421,172.617
422,177.540
423,176.387
424,170.731
425,157.864
426,141.014
427,121.886
428,101.035
429,79.062
430,60.570
431,45.275
432,34.897
433,30.944
434,33.614
435,40.194
436,51.122
437,67.050
438,87.986
439,110.332
440,132.258
441,151.638
442,167.242
443,178.531
444,183.575
445,182.574
446,175.263
447,162.858
448,143.757
449,122.701
450,100.298
451,79.167
452,60.643
453,46.647
454,36.192
455,32.066
456,32.858
457,40.945
458,54.572
459,72.548
460,94.056
461,116.662
462,139.817
463,158.269
464,172.750
465,183.628
466,189.217
467,187.342
468,181.187
469,168.704
470,151.870
471,130.496
472,108.912
473,86.712
474,66.252
475,50.721
